loincName	loincId	loincScale	outcome	hpoTermId	supplementalTermId	curation	comment
Peach IgE Ab [Units/volume] in Serum	6205-9	Qn	N	HP:0410228	.	UCD:tjcallahan[2019-02-23]	.
Peach IgE Ab [Units/volume] in Serum	6205-9	Qn	H	HP:0410228	.	UCD:tjcallahan[2019-02-23]	.
Peanut IgE Ab [Units/volume] in Serum	6206-7	Qn	N	HP:0410230	.	OHSU:JP[2018-10-16]	.
Peanut IgE Ab [Units/volume] in Serum	6206-7	Qn	H	HP:0410230	.	OHSU:JP[2018-10-16]	.
Pecan or Hickory Nut IgE Ab [Units/volume] in Serum	6208-3	Qn	N	HP:0410230	.	JGM:azhang[2018-10-12];JGM:azhang[2018-10-12]	.
Pecan or Hickory Nut IgE Ab [Units/volume] in Serum	6208-3	Qn	H	HP:0410230	.	JGM:azhang[2018-10-12];JGM:azhang[2018-10-12]	.
Pecan or Hickory Tree IgE Ab [Units/volume] in Serum	6209-1	Qn	N	HP:0410230	.	OHSU:JP[2018-10-16]	.
Pecan or Hickory Tree IgE Ab [Units/volume] in Serum	6209-1	Qn	H	HP:0410230	.	OHSU:JP[2018-10-16]	.
Penicillium notatum IgE Ab [Units/volume] in Serum	6212-5	Qn	N	HP:0410232	.	OHSU:JP[2018-10-16]	.
Penicillium notatum IgE Ab [Units/volume] in Serum	6212-5	Qn	H	HP:0410232	.	OHSU:JP[2018-10-16]	.
Pineapple IgE Ab [Units/volume] in Serum	6218-2	Qn	N	HP:0410228	.	HPO:nvasilevsky[2018-10-04]	.
Pineapple IgE Ab [Units/volume] in Serum	6218-2	Qn	H	HP:0410228	.	HPO:nvasilevsky[2018-10-04]	.
Pork IgE Ab [Units/volume] in Serum	6219-0	Qn	N	HP:0410233	.	OHSU:JP[2018-10-16]	.
Pork IgE Ab [Units/volume] in Serum	6219-0	Qn	H	HP:0410233	.	OHSU:JP[2018-10-16]	.
Potato IgE Ab [Units/volume] in Serum	6220-8	Qn	N	HP:0410238	.	JGM:azhang[2018-10-12]	.
Potato IgE Ab [Units/volume] in Serum	6220-8	Qn	H	HP:0410238	.	JGM:azhang[2018-10-12]	.
Red top grass IgE Ab [Units/volume] in Serum	6228-1	Qn	N	HP:0410238	.	OHSU:JP[2018-10-16]	.
Red top grass IgE Ab [Units/volume] in Serum	6228-1	Qn	H	HP:0410238	.	OHSU:JP[2018-10-16]	.
Rhizopus nigricans IgE Ab [Units/volume] in Serum	6229-9	Qn	N	HP:0410232	.	OHSU:JP[2018-10-16]	.
Rhizopus nigricans IgE Ab [Units/volume] in Serum	6229-9	Qn	H	HP:0410232	.	OHSU:JP[2018-10-16]	.
Rice IgE Ab [Units/volume] in Serum	6230-7	Qn	N	HP:0410238	.	JGM:azhang[2018-10-12]	.
Rice IgE Ab [Units/volume] in Serum	6230-7	Qn	H	HP:0410238	.	JGM:azhang[2018-10-12]	.
Saltwort IgE Ab [Units/volume] in Serum	6234-9	Qn	N	HP:0410238	.	UCD:tjcallahan[2019-02-23]	.
Saltwort IgE Ab [Units/volume] in Serum	6234-9	Qn	H	HP:0410238	.	UCD:tjcallahan[2019-02-23]	.
Salmon IgE Ab [Units/volume] in Serum	6237-2	Qn	N	HP:0410222	.	UCD:tjcallahan[2019-02-23]	.
Salmon IgE Ab [Units/volume] in Serum	6237-2	Qn	H	HP:0410222	.	UCD:tjcallahan[2019-02-23]	.
Sesame Seed IgE Ab [Units/volume] in Serum	6242-2	Qn	N	HP:0410228	.	OHSU:JP[2018-10-16]	.
Sesame Seed IgE Ab [Units/volume] in Serum	6242-2	Qn	H	HP:0410228	.	OHSU:JP[2018-10-16]	.
Sheep Sorrel IgE Ab [Units/volume] in Serum	6244-8	Qn	N	HP:0410238	.	OHSU:JP[2018-10-16]	.
Sheep Sorrel IgE Ab [Units/volume] in Serum	6244-8	Qn	H	HP:0410238	.	OHSU:JP[2018-10-16]	.
Shrimp IgE Ab [Units/volume] in Serum	6246-3	Qn	N	HP:0410222	.	OHSU:JP[2018-10-16]	.
Shrimp IgE Ab [Units/volume] in Serum	6246-3	Qn	H	HP:0410222	.	OHSU:JP[2018-10-16]	.
Soybean IgE Ab [Units/volume] in Serum	6248-9	Qn	N	HP:0410228	.	OHSU:JP[2018-10-16]	.
Soybean IgE Ab [Units/volume] in Serum	6248-9	Qn	H	HP:0410228	.	OHSU:JP[2018-10-16]	.
Acarus siro IgE Ab [Units/volume] in Serum	6254-7	Qn	N	HP:0410235	.	HPO:nvasilevsky[2018-10-03]	.
Acarus siro IgE Ab [Units/volume] in Serum	6254-7	Qn	H	HP:0410235	.	HPO:nvasilevsky[2018-10-03]	.
Strawberry IgE Ab [Units/volume] in Serum	6257-0	Qn	N	HP:0410228	.	UCD:tjcallahan[2019-02-23]	.
Strawberry IgE Ab [Units/volume] in Serum	6257-0	Qn	H	HP:0410228	.	UCD:tjcallahan[2019-02-23]	.
Sunflower Seed IgE Ab [Units/volume] in Serum	6258-8	Qn	N	HP:0410228	.	UCD:tjcallahan[2019-02-23]	.
Sunflower Seed IgE Ab [Units/volume] in Serum	6258-8	Qn	H	HP:0410228	.	UCD:tjcallahan[2019-02-23]	.
Chestnut IgE Ab [Units/volume] in Serum	6259-6	Qn	N	HP:0410230	.	OHSU:JP[2018-10-15]	.
Chestnut IgE Ab [Units/volume] in Serum	6259-6	Qn	H	HP:0410230	.	OHSU:JP[2018-10-15]	.
Sweet Vernal grass IgE Ab [Units/volume] in Serum	6261-2	Qn	N	HP:0410238	.	OHSU:JP[2018-10-16]	.
Sweet Vernal grass IgE Ab [Units/volume] in Serum	6261-2	Qn	H	HP:0410238	.	OHSU:JP[2018-10-16]	.
American Sycamore IgE Ab [Units/volume] in Serum	6263-8	Qn	N	HP:0410238	.	HPO:nvasilevsky[2018-10-04]	.
American Sycamore IgE Ab [Units/volume] in Serum	6263-8	Qn	H	HP:0410238	.	HPO:nvasilevsky[2018-10-04]	.
Timothy IgE Ab [Units/volume] in Serum	6265-3	Qn	N	HP:0410238	.	OHSU:JP[2018-10-16]	.
Timothy IgE Ab [Units/volume] in Serum	6265-3	Qn	H	HP:0410238	.	OHSU:JP[2018-10-16]	.
Tomato IgE Ab [Units/volume] in Serum	6266-1	Qn	N	HP:0410228	.	JGM:azhang[2018-10-12];JAX:azhang[2019-02-07]	.
Tomato IgE Ab [Units/volume] in Serum	6266-1	Qn	H	HP:0410228	.	JGM:azhang[2018-10-12];JAX:azhang[2019-02-07]	.
Trout IgE Ab [Units/volume] in Serum	6268-7	Qn	N	HP:0410222	.	UCD:tjcallahan[2019-02-23]	.
Trout IgE Ab [Units/volume] in Serum	6268-7	Qn	H	HP:0410222	.	UCD:tjcallahan[2019-02-23]	.
Tuna IgE Ab [Units/volume] in Serum	6270-3	Qn	N	HP:0410222	.	UCD:tjcallahan[2019-02-01]	UCDenver survey results
Tuna IgE Ab [Units/volume] in Serum	6270-3	Qn	H	HP:0410222	.	UCD:tjcallahan[2019-02-01]	UCDenver survey results
Turkey meat IgE Ab [Units/volume] in Serum	6271-1	Qn	N	HP:0410233	.	UCD:tjcallahan[2019-02-23]	.
Turkey meat IgE Ab [Units/volume] in Serum	6271-1	Qn	H	HP:0410233	.	UCD:tjcallahan[2019-02-23]	.
Walnut IgE Ab [Units/volume] in Serum	6273-7	Qn	N	HP:0410230	.	OHSU:JP[2018-10-16]	.
Walnut IgE Ab [Units/volume] in Serum	6273-7	Qn	H	HP:0410230	.	OHSU:JP[2018-10-16]	.
California Walnut IgE Ab [Units/volume] in Serum	6274-5	Qn	N	HP:0410238	.	OHSU:JP[2018-10-10]	.
California Walnut IgE Ab [Units/volume] in Serum	6274-5	Qn	H	HP:0410238	.	OHSU:JP[2018-10-10]	.
Wheat IgE Ab [Units/volume] in Serum	6276-0	Qn	N	HP:0410228	.	OHSU:JP[2018-10-16]	.
Wheat IgE Ab [Units/volume] in Serum	6276-0	Qn	H	HP:0410228	.	OHSU:JP[2018-10-16]	.
White Ash IgE Ab [Units/volume] in Serum	6278-6	Qn	N	HP:0410238	.	OHSU:JP[2018-10-16]	.
White Ash IgE Ab [Units/volume] in Serum	6278-6	Qn	H	HP:0410238	.	OHSU:JP[2018-10-16]	.
White Bean IgE Ab [Units/volume] in Serum	6279-4	Qn	N	HP:0410228	.	UCD:tjcallahan[2019-02-23]	.
White Bean IgE Ab [Units/volume] in Serum	6279-4	Qn	H	HP:0410228	.	UCD:tjcallahan[2019-02-23]	.
Whitefaced Hornet IgE Ab [Units/volume] in Serum	6280-2	Qn	N	HP:0410235	.	UCD:tjcallahan[2019-02-23]	.
Whitefaced Hornet IgE Ab [Units/volume] in Serum	6280-2	Qn	H	HP:0410235	.	UCD:tjcallahan[2019-02-23]	.
Eastern White Pine IgE Ab [Units/volume] in Serum	6282-8	Qn	N	HP:0410238	.	OHSU:JP[2018-10-16]	.
Eastern White Pine IgE Ab [Units/volume] in Serum	6282-8	Qn	H	HP:0410238	.	OHSU:JP[2018-10-16]	.
Wormwood IgE Ab [Units/volume] in Serum	6286-9	Qn	N	HP:0410238	.	HPO:nvasilevsky[2018-10-03]	.
Wormwood IgE Ab [Units/volume] in Serum	6286-9	Qn	H	HP:0410238	.	HPO:nvasilevsky[2018-10-03]	.
Baker's yeast IgE Ab [Units/volume] in Serum	6287-7	Qn	N	HP:0410232	.	OHSU:JP[2018-10-09]	.
Baker's yeast IgE Ab [Units/volume] in Serum	6287-7	Qn	H	HP:0410232	.	OHSU:JP[2018-10-09]	.
Yellow Hornet IgE Ab [Units/volume] in Serum	6288-5	Qn	N	HP:0410235	.	UCD:tjcallahan[2019-02-23]	.
Yellow Hornet IgE Ab [Units/volume] in Serum	6288-5	Qn	H	HP:0410235	.	UCD:tjcallahan[2019-02-23]	.
Potassium [Moles/volume] in Blood	6298-4	Qn	L	HP:0002900	.	JGM:azhang[2018-04-25]	.
Potassium [Moles/volume] in Blood	6298-4	Qn	N	HP:0011042	.	JGM:azhang[2018-04-25]	.
Potassium [Moles/volume] in Blood	6298-4	Qn	H	HP:0002153	.	JGM:azhang[2018-04-25]	.
Urea nitrogen [Mass/volume] in Blood	6299-2	Qn	L	HP:0031969	.	UCD:tjcallahan[2019-02-23]	.
Urea nitrogen [Mass/volume] in Blood	6299-2	Qn	N	HP:0031970	.	UCD:tjcallahan[2019-02-23]	.
Urea nitrogen [Mass/volume] in Blood	6299-2	Qn	H	HP:0003138	.	UCD:tjcallahan[2019-02-23]	.
INR in Platelet poor plasma by Coagulation assay	6301-6	Qn	L	HP:0032198	.	JGM:lccarmody[2018-10-16];JAX:azhang[2019-01-21]	.
INR in Platelet poor plasma by Coagulation assay	6301-6	Qn	N	HP:0032199	.	JGM:lccarmody[2018-10-16];JAX:azhang[2019-01-21]	.
INR in Platelet poor plasma by Coagulation assay	6301-6	Qn	H	HP:0008151	.	JGM:lccarmody[2018-10-16];JAX:azhang[2019-01-21]	.
Budgerigar droppings IgE Ab [Units/volume] in Serum	6304-0	Qn	N	HP:0410221	.	HPO:nvasilevsky[2018-10-08]	.
Budgerigar droppings IgE Ab [Units/volume] in Serum	6304-0	Qn	H	HP:0410221	.	HPO:nvasilevsky[2018-10-08]	.
Troponin T.cardiac [Mass/volume] in Venous blood	6597-9	Qn	N	HP:0410174	.	HPO:nvasilevsky[2018-05-18]	.
Troponin T.cardiac [Mass/volume] in Venous blood	6597-9	Qn	H	HP:0410174	.	HPO:nvasilevsky[2018-05-18]	.
Troponin T.cardiac [Mass/volume] in Serum or Plasma	6598-7	Qn	N	HP:0410174	.	HPO:nvasilevsky[2018-05-18]	.
Troponin T.cardiac [Mass/volume] in Serum or Plasma	6598-7	Qn	H	HP:0410174	.	HPO:nvasilevsky[2018-05-18]	.
Citrate [Mass/time] in 24 hour Urine	6687-8	Qn	L	HP:0012405	.	UCD:tjcallahan[2019-02-23]	.
Citrate [Mass/time] in 24 hour Urine	6687-8	Qn	N	HP:0012404	.	UCD:tjcallahan[2019-02-23]	.
Citrate [Mass/time] in 24 hour Urine	6687-8	Qn	H	HP:0012406	.	UCD:tjcallahan[2019-02-23]	.
Leukocytes [#/volume] in Blood by Automated count	6690-2	Qn	L	HP:0001882	.	JGM:Aaron[2018-03-20]	.
Leukocytes [#/volume] in Blood by Automated count	6690-2	Qn	N	HP:0011893	.	JGM:Aaron[2018-03-20]	.
Leukocytes [#/volume] in Blood by Automated count	6690-2	Qn	H	HP:0001974	.	JGM:Aaron[2018-03-20]	.
Acetaminophen IgE Ab [Units/volume] in Serum	6711-6	Qn	N	HP:0410225	.	HPO:nvasilevsky[2018-10-03]	.
Acetaminophen IgE Ab [Units/volume] in Serum	6711-6	Qn	H	HP:0410225	.	HPO:nvasilevsky[2018-10-03]	.
Ampicillin IgE Ab [Units/volume] in Serum	6712-4	Qn	N	HP:0410225	.	HPO:nvasilevsky[2018-10-04]	.
Ampicillin IgE Ab [Units/volume] in Serum	6712-4	Qn	H	HP:0410225	.	HPO:nvasilevsky[2018-10-04]	.
Cashew nut IgE Ab [Units/volume] in Serum	6718-1	Qn	N	HP:0410230	.	OHSU:JP[2018-10-11]	.
Cashew nut IgE Ab [Units/volume] in Serum	6718-1	Qn	H	HP:0410230	.	OHSU:JP[2018-10-11]	.
Cherry IgE Ab [Units/volume] in Serum	6719-9	Qn	N	HP:0410228	.	HPO:nvasilevsky[2018-10-12]	.
Cherry IgE Ab [Units/volume] in Serum	6719-9	Qn	H	HP:0410228	.	HPO:nvasilevsky[2018-10-12]	.
Cucumber IgE Ab [Units/volume] in Serum	6724-9	Qn	N	HP:0410228	.	UCD:tjcallahan[2019-02-23]	.
Cucumber IgE Ab [Units/volume] in Serum	6724-9	Qn	H	HP:0410228	.	UCD:tjcallahan[2019-02-23]	.
Yellow Jacket IgE Ab [Units/volume] in Serum	6740-5	Qn	N	HP:0410235	.	UCD:tjcallahan[2019-02-23]	.
Yellow Jacket IgE Ab [Units/volume] in Serum	6740-5	Qn	H	HP:0410235	.	UCD:tjcallahan[2019-02-23]	.
Erythrocyte morphology finding [Identifier] in Blood	6742-1	Nom	H	HP:0001877	.	JGM:lccarmody[2018-10-16]	.
Erythrocyte morphology finding [Identifier] in Blood	6742-1	Nom	POS	HP:0001877	.	JGM:lccarmody[2018-10-16]	.
Erythrocyte morphology finding [Identifier] in Blood	6742-1	Nom	NEG	HP:0001877	.	JGM:lccarmody[2018-10-16]	.
Erythrocyte morphology finding [Identifier] in Blood	6742-1	Nom	N	HP:0001877	.	JGM:lccarmody[2018-10-16]	.
Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma	6768-6	Qn	L	HP:0003282	.	HPO:probinson[2018-04-03]	.
Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma	6768-6	Qn	N	HP:0004379	.	HPO:probinson[2018-04-03]	.
Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma	6768-6	Qn	H	HP:0003155	.	HPO:probinson[2018-04-03]	.
Alpha 1 antitrypsin [Mass/volume] in Serum or Plasma by Nephelometry	6771-0	Qn	L	HP:0032025	.	UCD:tjcallahan[2019-02-23]	.
Alpha 1 antitrypsin [Mass/volume] in Serum or Plasma by Nephelometry	6771-0	Qn	N	HP:0032025	.	UCD:tjcallahan[2019-02-23]	.
Deprecated Creatine kinase.MB	6773-6	Qn	N	HP:0040081	.	JGM:lccarmody[2019-05-08]	.
Deprecated Creatine kinase.MB	6773-6	Qn	H	HP:0032232	.	JGM:lccarmody[2019-05-08]	.
Amoxicillin IgE Ab [Units/volume] in Serum	6829-6	Qn	N	HP:0410225	.	HPO:nvasilevsky[2018-10-04]	.
Amoxicillin IgE Ab [Units/volume] in Serum	6829-6	Qn	H	HP:0410225	.	HPO:nvasilevsky[2018-10-04]	.
Aspergillus niger IgE Ab [Units/volume] in Serum	6830-4	Qn	N	HP:0410232	.	OHSU:JP[2018-10-08]	.
Aspergillus niger IgE Ab [Units/volume] in Serum	6830-4	Qn	H	HP:0410232	.	OHSU:JP[2018-10-08]	.
Green Bean IgE Ab [Units/volume] in Serum	6831-2	Qn	N	HP:0410228	.	UCD:tjcallahan[2019-02-23]	.
Green Bean IgE Ab [Units/volume] in Serum	6831-2	Qn	H	HP:0410228	.	UCD:tjcallahan[2019-02-23]	.
Cat dander IgE Ab [Units/volume] in Serum	6833-8	Qn	N	HP:0410247	.	OHSU:JP[2018-10-11];HPO:nvasilevsky[2018-10-12]	.
Cat dander IgE Ab [Units/volume] in Serum	6833-8	Qn	H	HP:0410247	.	OHSU:JP[2018-10-11];HPO:nvasilevsky[2018-10-12]	.
Cauliflower IgE Ab [Units/volume] in Serum	6835-3	Qn	N	HP:0410228	.	OHSU:JP[2018-10-11]	.
Cauliflower IgE Ab [Units/volume] in Serum	6835-3	Qn	H	HP:0410228	.	OHSU:JP[2018-10-11]	.
Chicken serum proteins IgE Ab [Units/volume] in Serum	6836-1	Qn	N	HP:0410221	.	OHSU:JP[2018-10-15]	.
Chicken serum proteins IgE Ab [Units/volume] in Serum	6836-1	Qn	H	HP:0410221	.	OHSU:JP[2018-10-15]	.
Cinnamon IgE Ab [Units/volume] in Serum	6837-9	Qn	N	HP:0410228	.	HPO:nvasilevsky[2018-10-08]	.
Cinnamon IgE Ab [Units/volume] in Serum	6837-9	Qn	H	HP:0410228	.	HPO:nvasilevsky[2018-10-08]	.
Cockatiel droppings IgE Ab [Units/volume] in Serum	6838-7	Qn	N	HP:0410221	.	HPO:nvasilevsky[2018-10-08]	.
Cockatiel droppings IgE Ab [Units/volume] in Serum	6838-7	Qn	H	HP:0410221	.	HPO:nvasilevsky[2018-10-08]	.
Grape IgE Ab [Units/volume] in Serum	6841-1	Qn	N	HP:0410228	.	UCD:tjcallahan[2019-02-23]	.
Grape IgE Ab [Units/volume] in Serum	6841-1	Qn	H	HP:0410228	.	UCD:tjcallahan[2019-02-23]	.
Halibut IgE Ab [Units/volume] in Serum	6842-9	Qn	N	HP:0410222	.	HPO:nvasilevsky[2018-10-04]	.
Halibut IgE Ab [Units/volume] in Serum	6842-9	Qn	H	HP:0410222	.	HPO:nvasilevsky[2018-10-04]	.
Honey bee IgE Ab [Units/volume] in Serum	6844-5	Qn	N	HP:0410235	.	UCD:tjcallahan[2019-02-23]	.
Honey bee IgE Ab [Units/volume] in Serum	6844-5	Qn	H	HP:0410235	.	UCD:tjcallahan[2019-02-23]	.
Papaya (Carica papaya) IgE Ab [Units/volume] in Serum	6850-2	Qn	N	HP:0410228	.	UCD:tjcallahan[2019-02-23]	.
Papaya (Carica papaya) IgE Ab [Units/volume] in Serum	6850-2	Qn	H	HP:0410228	.	UCD:tjcallahan[2019-02-23]	.
Plum IgE Ab [Units/volume] in Serum	6853-6	Qn	N	HP:0410228	.	UCD:tjcallahan[2019-02-23]	.
Plum IgE Ab [Units/volume] in Serum	6853-6	Qn	H	HP:0410228	.	UCD:tjcallahan[2019-02-23]	.
Pumpkin IgE Ab [Units/volume] in Serum	6854-4	Qn	N	HP:0410228	.	UCD:tjcallahan[2019-02-23]	.
Pumpkin IgE Ab [Units/volume] in Serum	6854-4	Qn	H	HP:0410228	.	UCD:tjcallahan[2019-02-23]	.
Spinach IgE Ab [Units/volume] in Serum	6856-9	Qn	N	HP:0410228	.	UCD:tjcallahan[2019-02-23]	.
Spinach IgE Ab [Units/volume] in Serum	6856-9	Qn	H	HP:0410228	.	UCD:tjcallahan[2019-02-23]	.
Squid IgE Ab [Units/volume] in Serum	6858-5	Qn	N	HP:0410222	.	UCD:tjcallahan[2019-02-23]	.
Squid IgE Ab [Units/volume] in Serum	6858-5	Qn	H	HP:0410222	.	UCD:tjcallahan[2019-02-23]	.
Trichophyton rubrum IgE Ab [Units/volume] in Serum	6860-1	Qn	N	HP:0410232	.	OHSU:JP[2018-10-16]	.
Trichophyton rubrum IgE Ab [Units/volume] in Serum	6860-1	Qn	H	HP:0410232	.	OHSU:JP[2018-10-16]	.
Black Willow IgE Ab [Units/volume] in Serum	6862-7	Qn	N	HP:0410238	.	OHSU:JP[2018-10-09]	.
Black Willow IgE Ab [Units/volume] in Serum	6862-7	Qn	H	HP:0410238	.	OHSU:JP[2018-10-09]	.
Hemoglobin S [Presence] in Blood by Solubility test	6864-3	Ord	NEG	HP:0011902	.	HPO:nvasilevsky[2019-06-14]	.
Hemoglobin S [Presence] in Blood by Solubility test	6864-3	Ord	POS	HP:0045047	.	HPO:nvasilevsky[2019-06-14]	.
Calcium [Mass/time] in 24 hour Urine	6874-2	Qn	L	HP:0003127	.	JGM:lccarmody[2018-09-17]	.
Calcium [Mass/time] in 24 hour Urine	6874-2	Qn	N	HP:0011280	.	JGM:lccarmody[2018-09-17]	.
Calcium [Mass/time] in 24 hour Urine	6874-2	Qn	H	HP:0002150	.	JGM:lccarmody[2018-09-17]	.
Corticotropin [Mass/volume] in Plasma by Radioimmunoassay (RIA)	6879-1	Qn	L	HP:0002920	.	HPO:nvasilevsky[2018-07-18]	.
Corticotropin [Mass/volume] in Plasma by Radioimmunoassay (RIA)	6879-1	Qn	N	HP:0011043	.	HPO:nvasilevsky[2018-07-18]	.
Corticotropin [Mass/volume] in Plasma by Radioimmunoassay (RIA)	6879-1	Qn	H	HP:0003154	.	HPO:nvasilevsky[2018-07-18]	.
Thyroxine (T4) free [Mass/volume] in Serum or Plasma by Dialysis	6892-4	Qn	L	HP:0031507	.	UCD:tjcallahan[2019-02-23]	.
Thyroxine (T4) free [Mass/volume] in Serum or Plasma by Dialysis	6892-4	Qn	N	HP:0031505	.	UCD:tjcallahan[2019-02-23]	.
Thyroxine (T4) free [Mass/volume] in Serum or Plasma by Dialysis	6892-4	Qn	H	HP:0031506	.	UCD:tjcallahan[2019-02-23]	.
Urobilinogen [Mass/time] in 24 hour Stool	6893-2	Qn	N	HP:0500114	.	HPO:nvasilevsky[2018-08-29]	.
Urobilinogen [Mass/time] in 24 hour Stool	6893-2	Qn	H	HP:0500115	.	HPO:nvasilevsky[2018-08-29]	.
Ganglioside GM1 IgG Ab [Titer] in Serum	6925-2	Qn	N	HP:0031810	.	HPO:nvasilevsky[2019-01-15]	.
Ganglioside GM1 IgG Ab [Titer] in Serum	6925-2	Qn	H	HP:0031810	.	HPO:nvasilevsky[2019-01-15]	.
Ganglioside GM1 IgM Ab [Titer] in Serum	6926-0	Qn	N	HP:0031810	.	HPO:nvasilevsky[2018-05-08]	.
Ganglioside GM1 IgM Ab [Titer] in Serum	6926-0	Qn	H	HP:0031810	.	HPO:nvasilevsky[2018-05-08]	.
Abalone IgE Ab [Units/volume] in Serum	7060-7	Qn	N	HP:0410222	.	HPO:nvasilevsky[2018-10-03]	.
Abalone IgE Ab [Units/volume] in Serum	7060-7	Qn	H	HP:0410222	.	HPO:nvasilevsky[2018-10-03]	.
Alfalfa IgE Ab [Units/volume] in Serum	7065-6	Qn	N	HP:0410228	.	HPO:nvasilevsky[2018-10-04]	.
Alfalfa IgE Ab [Units/volume] in Serum	7065-6	Qn	H	HP:0410228	.	HPO:nvasilevsky[2018-10-04]	.
Alfalfa Pollen IgE Ab [Units/volume] in Serum	7067-2	Qn	N	HP:0410228	.	HPO:nvasilevsky[2018-10-04]	.
Alfalfa Pollen IgE Ab [Units/volume] in Serum	7067-2	Qn	H	HP:0410228	.	HPO:nvasilevsky[2018-10-04]	.
Algae IgE Ab [Units/volume] in Serum	7068-0	Qn	N	HP:0410238	.	HPO:nvasilevsky[2018-10-04]	.
Algae IgE Ab [Units/volume] in Serum	7068-0	Qn	H	HP:0410238	.	HPO:nvasilevsky[2018-10-04]	.
Allspice IgE Ab [Units/volume] in Serum	7069-8	Qn	N	HP:0410228	.	HPO:nvasilevsky[2018-10-04]	.
Allspice IgE Ab [Units/volume] in Serum	7069-8	Qn	H	HP:0410228	.	HPO:nvasilevsky[2018-10-04]	.
Almond Tree IgE Ab [Units/volume] in Serum	7072-2	Qn	N	HP:0410230	.	HPO:nvasilevsky[2018-10-04]	.
Almond Tree IgE Ab [Units/volume] in Serum	7072-2	Qn	H	HP:0410230	.	HPO:nvasilevsky[2018-10-04]	.
Anchovy IgE Ab [Units/volume] in Serum	7079-7	Qn	N	HP:0410222	.	HPO:nvasilevsky[2018-10-04]	.
Anchovy IgE Ab [Units/volume] in Serum	7079-7	Qn	H	HP:0410222	.	HPO:nvasilevsky[2018-10-04]	.
Anise IgE Ab [Units/volume] in Serum	7081-3	Qn	N	HP:0410228	.	HPO:nvasilevsky[2018-10-04]	.
Anise IgE Ab [Units/volume] in Serum	7081-3	Qn	H	HP:0410228	.	HPO:nvasilevsky[2018-10-04]	.
Black Imported Fire Ant IgE Ab [Units/volume] in Serum	7086-2	Qn	N	HP:0410235	.	OHSU:JP[2018-10-09]	.
Black Imported Fire Ant IgE Ab [Units/volume] in Serum	7086-2	Qn	H	HP:0410235	.	OHSU:JP[2018-10-09]	.
Apple Tree IgE Ab [Units/volume] in Serum	7090-4	Qn	N	HP:0410228	.	HPO:nvasilevsky[2018-10-04]	.
Apple Tree IgE Ab [Units/volume] in Serum	7090-4	Qn	H	HP:0410228	.	HPO:nvasilevsky[2018-10-04]	.
Apricot IgE Ab [Units/volume] in Serum	7091-2	Qn	N	HP:0410228	.	HPO:nvasilevsky[2018-10-04]	.
Apricot IgE Ab [Units/volume] in Serum	7091-2	Qn	H	HP:0410228	.	HPO:nvasilevsky[2018-10-04]	.
Arrowroot IgE Ab [Units/volume] in Serum	7093-8	Qn	N	HP:0410238	.	HPO:nvasilevsky[2018-10-04]	.
Arrowroot IgE Ab [Units/volume] in Serum	7093-8	Qn	H	HP:0410238	.	HPO:nvasilevsky[2018-10-04]	.
Artichoke IgE Ab [Units/volume] in Serum	7094-6	Qn	N	HP:0410228	.	HPO:nvasilevsky[2018-10-04]	.
Artichoke IgE Ab [Units/volume] in Serum	7094-6	Qn	H	HP:0410228	.	HPO:nvasilevsky[2018-10-04]	.
Arizona Ash IgE Ab [Units/volume] in Serum	7095-3	Qn	N	HP:0410238	.	HPO:nvasilevsky[2018-10-04]	.
Arizona Ash IgE Ab [Units/volume] in Serum	7095-3	Qn	H	HP:0410238	.	HPO:nvasilevsky[2018-10-04]	.
Asparagus IgE Ab [Units/volume] in Serum	7099-5	Qn	N	HP:0410228	.	OHSU:JP[2018-10-08]	.
Asparagus IgE Ab [Units/volume] in Serum	7099-5	Qn	H	HP:0410228	.	OHSU:JP[2018-10-08]	.
Aspen IgE Ab [Units/volume] in Serum	7101-9	Qn	N	HP:0410238	.	OHSU:JP[2018-10-08]	.
Aspen IgE Ab [Units/volume] in Serum	7101-9	Qn	H	HP:0410238	.	OHSU:JP[2018-10-08]	.
Aspergillus nidulans IgE Ab [Units/volume] in Serum	7105-0	Qn	N	HP:0410232	.	OHSU:JP[2018-10-08]	.
Aspergillus nidulans IgE Ab [Units/volume] in Serum	7105-0	Qn	H	HP:0410232	.	OHSU:JP[2018-10-08]	.
Aspergillus sp IgE Ab [Units/volume] in Serum	7106-8	Qn	N	HP:0410232	.	OHSU:JP[2018-10-09]	.
Aspergillus sp IgE Ab [Units/volume] in Serum	7106-8	Qn	H	HP:0410232	.	OHSU:JP[2018-10-09]	.
Acetylsalicylate IgE Ab [Units/volume] in Serum	7108-4	Qn	N	HP:0410225	.	HPO:nvasilevsky[2018-10-03]	.
Acetylsalicylate IgE Ab [Units/volume] in Serum	7108-4	Qn	H	HP:0410225	.	HPO:nvasilevsky[2018-10-03]	.
Barley Pollen IgE Ab [Units/volume] in Serum	7116-7	Qn	N	HP:0410238	.	OHSU:JP[2018-10-09]	.
Barley Pollen IgE Ab [Units/volume] in Serum	7116-7	Qn	H	HP:0410238	.	OHSU:JP[2018-10-09]	.
Basil IgE Ab [Units/volume] in Serum	7118-3	Qn	N	HP:0410228	.	OHSU:JP[2018-10-09]	.
